run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,network_label,scenario
32,1031,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
33,1032,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
34,1033,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
35,1034,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
36,1035,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
37,1036,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
38,1037,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
39,1038,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,small_world,low_seed
40,1039,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
41,1040,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
42,1041,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
43,1042,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
44,1043,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
45,1044,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
46,1045,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
47,1046,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
48,1047,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
49,1048,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,small_world,mid_seed
50,1049,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,small_world,high_seed
51,1050,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,2,True,0.0,0.03434666666666667,0,,,0,0,0.0,small_world,high_seed
52,1051,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,11,True,1.0,0.3485049219783021,1,6.0,8.0,1,300,300.0,small_world,high_seed
53,1052,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,2,True,0.0,0.034592,0,,,0,0,0.0,small_world,high_seed
54,1053,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,small_world,high_seed
55,1054,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,small_world,high_seed
56,1055,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,small_world,high_seed
57,1056,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,12,True,1.0,0.35790422958046414,1,7.0,9.0,1,300,300.0,small_world,high_seed
58,1057,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,small_world,high_seed
59,1058,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,small_world,high_seed
60,1059,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
61,1060,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
62,1061,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
63,1062,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
64,1063,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
65,1064,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
66,1065,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
67,1066,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
68,1067,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
69,1068,erdos_renyi,"{""p"": 0.05}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,erdos_renyi,low_seed
70,1069,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
71,1070,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
72,1071,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
73,1072,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
74,1073,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
75,1074,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
76,1075,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
77,1076,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
78,1077,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
79,1078,erdos_renyi,"{""p"": 0.05}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,erdos_renyi,mid_seed
80,1079,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
81,1080,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
82,1081,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
83,1082,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
84,1083,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
85,1084,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
86,1085,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
87,1086,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
88,1087,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,erdos_renyi,high_seed
89,1088,erdos_renyi,"{""p"": 0.05}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,6,True,1.0,0.26243238327637336,1,3.0,4.0,1,300,300.0,erdos_renyi,high_seed
90,1089,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
91,1090,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
92,1091,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
93,1092,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
94,1093,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
95,1094,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
96,1095,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
97,1096,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
98,1097,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
99,1098,barabasi_albert,"{""m"": 2}",300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,15,1,True,0.0,0.0184,0,,,0,0,0.0,barabasi_albert,low_seed
100,1099,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
101,1100,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
102,1101,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
103,1102,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
104,1103,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
105,1104,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
106,1105,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,2,True,0.0,0.02563733333333333,0,,,0,0,0.0,barabasi_albert,mid_seed
107,1106,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
108,1107,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
109,1108,barabasi_albert,"{""m"": 2}",300,2.14,2.2,2.0,1.0,0.08,0.03,0.08,random,logit,0.2,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,barabasi_albert,mid_seed
110,1109,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
111,1110,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
112,1111,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,2,True,0.0,0.034592,0,,,0,0,0.0,barabasi_albert,high_seed
113,1112,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
114,1113,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
115,1114,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
116,1115,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
117,1116,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
118,1117,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,3,True,0.0,0.032069973333333335,0,,,0,0,0.0,barabasi_albert,high_seed
119,1118,barabasi_albert,"{""m"": 2}",300,2.12,2.2,2.0,1.0,0.08,0.04,0.12,random,logit,0.2,none,36,1,True,0.0,0.0368,0,,,0,0,0.0,barabasi_albert,high_seed
