scenario_id,network_label,policy_label,n,p_high,t_high_mean,X_mean,X_std,cluster_max_mean,cost_mean,p_high_per_cost,ineffective,inefficient
0,barabasi_albert,subsidy:da00.6:s25:d25,20,0.35,0.7142857142857143,0.35,0.4893604849295929,105.0,15.0,0.02333333333333333,False,True
0,barabasi_albert,subsidy:da00.6:s25:d50,20,0.35,1.7142857142857142,0.35816666666666663,0.4845513690412669,107.45,30.0,0.011666666666666665,False,True
0,erdos_renyi,baseline,20,0.95,4.684210526315789,0.9525,0.2077247250654307,285.55,0.0,,False,False
0,erdos_renyi,infra:boost0.05:s0,20,0.9,3.7777777777777777,0.9048333333333334,0.2878971449699898,271.1,0.05,18.0,False,False
0,erdos_renyi,infra:boost0.05:s10,20,0.9,3.6666666666666665,0.906,0.2847808226673002,271.65,0.05,18.0,False,False
0,erdos_renyi,infra:boost0.05:s25,20,0.9,2.7777777777777777,0.9043333333333333,0.29048477328213257,271.1,0.05,18.0,False,False
0,erdos_renyi,infra:boost0.15:s0,20,1.0,1.6,0.9991666666666668,0.001833732014067282,299.35,0.15,6.666666666666667,False,False
0,erdos_renyi,infra:boost0.15:s10,20,1.0,3.15,0.998,0.002513123449750174,299.15,0.15,6.666666666666667,False,False
0,erdos_renyi,infra:boost0.15:s25,20,0.9,4.888888888888889,0.9053333333333333,0.28711592703219296,271.35,0.15,6.0,False,False
0,erdos_renyi,infra:boost0.3:s0,20,1.0,1.35,0.9984999999999999,0.0020160177294309754,299.3,0.3,3.3333333333333335,False,False
0,erdos_renyi,infra:boost0.3:s10,20,0.95,5.105263157894737,0.9515,0.2098522872311387,284.95,0.3,3.1666666666666665,False,False
0,erdos_renyi,infra:boost0.3:s25,20,0.85,5.9411764705882355,0.8665,0.3217613713871804,259.75,0.3,2.8333333333333335,False,False
0,erdos_renyi,seed:degree:f0.02:s0:d10:lock0,20,1.0,1.65,0.9983333333333334,0.0022941573387056198,299.3,60.0,0.016666666666666666,False,True
0,erdos_renyi,seed:degree:f0.02:s60:d10:lock0,20,0.9,7.944444444444445,0.9005000000000001,0.30064312157391465,269.8,60.0,0.015000000000000001,False,True
0,erdos_renyi,seed:degree:f0.05:s0:d10:lock0,20,1.0,1.0,0.9995,0.001221158495108391,299.65,150.0,0.006666666666666667,False,True
0,erdos_renyi,seed:degree:f0.05:s60:d10:lock0,20,0.95,3.526315789473684,0.9491666666666667,0.21636517485235207,284.7,150.0,0.006333333333333333,False,True
0,erdos_renyi,subsidy:da00.1:s0:d10,20,1.0,2.9,0.9983333333333334,0.0022941573387056232,299.3,1.0,1.0,False,False
0,erdos_renyi,subsidy:da00.1:s0:d25,20,1.0,3.6,0.9973333333333333,0.003350831266333584,298.75,2.5,0.4,False,False
0,erdos_renyi,subsidy:da00.1:s0:d50,20,1.0,3.35,0.9978333333333333,0.0022360679774997973,299.05,5.0,0.2,False,False
0,erdos_renyi,subsidy:da00.1:s10:d10,20,1.0,3.7,0.998,0.002513123449750177,298.95,1.0,1.0,False,False
0,erdos_renyi,subsidy:da00.1:s10:d25,20,0.9,3.2777777777777777,0.9015000000000001,0.2974874806938783,270.2,2.5,0.36,False,False
0,erdos_renyi,subsidy:da00.1:s10:d50,20,0.85,4.176470588235294,0.8550000000000001,0.35188631205005283,256.2,5.0,0.16999999999999998,False,False
0,erdos_renyi,subsidy:da00.1:s25:d10,20,0.9,3.5555555555555554,0.9131666666666666,0.2617048804368089,273.5,1.0,0.9,False,False
0,erdos_renyi,subsidy:da00.1:s25:d25,20,0.95,3.6315789473684212,0.9515,0.20984950051286058,285.15,2.5,0.38,False,False
0,erdos_renyi,subsidy:da00.1:s25:d50,20,0.95,3.263157894736842,0.9535,0.20090285977140165,285.7,5.0,0.19,False,False
0,erdos_renyi,subsidy:da00.3:s0:d10,20,1.0,2.3,0.9981666666666668,0.0020160177294310136,299.4,3.0,0.3333333333333333,False,False
0,erdos_renyi,subsidy:da00.3:s0:d25,20,1.0,2.2,0.998,0.0029419331671936394,299.2,7.5,0.13333333333333333,False,False
0,erdos_renyi,subsidy:da00.3:s0:d50,20,1.0,2.1,0.999,0.0015672078199387466,299.6,15.0,0.06666666666666667,False,True
0,erdos_renyi,subsidy:da00.3:s10:d10,20,0.85,6.294117647058823,0.8626666666666667,0.3311182541715483,258.1,3.0,0.2833333333333333,False,False
