run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,X0,I0_grid,beta_I_grid,low_adoption
24,147,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
25,148,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
26,149,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
27,150,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
28,151,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
29,152,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
30,153,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
31,154,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
32,155,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
33,156,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
34,157,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
35,158,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
36,159,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
37,160,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
38,161,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
39,162,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
40,163,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
41,164,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
42,165,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
43,166,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
44,167,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
45,168,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
46,169,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
47,170,erdos_renyi,"{""p"": 0.05}",300,2.0500000000000003,2.2,2.0,1.0,0.08,0.07500000000000001,0.0,random,logit,0.2,none,0,1,True,0.0,0.069,0,,,0,0,0.0,0.0,0.07500000000000001,2.0,1
48,171,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
49,172,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
50,173,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
51,174,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
52,175,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
53,176,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
54,177,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
55,178,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
56,179,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
57,180,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
58,181,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
59,182,erdos_renyi,"{""p"": 0.05}",300,2.0,2.2,2.0,1.0,0.08,0.1,0.0,random,logit,0.2,none,0,1,True,0.0,0.092,0,,,0,0,0.0,0.0,0.1,2.0,1
60,183,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
61,184,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
62,185,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
63,186,erdos_renyi,"{""p"": 0.05}",300,1.9500000000000002,2.2,2.0,1.0,0.08,0.125,0.0,random,logit,0.2,none,0,1,True,0.0,0.115,0,,,0,0,0.0,0.0,0.125,2.0,1
